history_date,primary_index,sub_index,price_change,total_value,price_change_weighted
6/1/04,Consumer Price Index,Tech II modules,1.159958,73901719069,0.007945
6/1/04,Consumer Price Index,Tech II ships,1.145107,30221958600,0.002947
6/1/04,Mineral Price Index,High-End Minerals,1.010401,3.70981E+11,0.00654
6/1/04,Mineral Price Index,Low-End Minerals,1.079788,2.18975E+11,0.029614
6/1/04,Primary Producer Price Index,Commodity,0.982432,1519619022,-0.000749
6/1/04,Primary Producer Price Index,Ore,1.072298,30674339042,0.062236
6/1/04,Primary Producer Price Index,Planetary Processed Materials,0.979192,1103408595,-0.000644
6/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.959195,1258158234,-0.00144
6/1/04,Primary Producer Price Index,Planetary Specialized Commodities,0.912086,1077958877,-0.002659
6/1/04,Secondary Producer Price Index,Blueprints,1.012178,1.0442E+11,0.005103
6/1/04,Secondary Producer Price Index,Commodity,0.993879,1.21743E+11,-0.00299
6/1/04,Secondary Producer Price Index,Planetary Commodities,0.90544,652210380.4,-0.000247
6/1/04,Secondary Producer Price Index,Planetary Refined Commodities,1.606995,5519210011,0.013445
6/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,1.050556,963577750.8,0.000195
6/1/04,Secondary Producer Price Index,Tech II construction components,1.372199,15858985822,0.02369
7/1/04,Consumer Price Index,Ammo,0.791193,40999172606,-0.005075
7/1/04,Consumer Price Index,Commodity,1.058848,4524029458,0.000157
7/1/04,Consumer Price Index,Drones,1.075772,11865352981,0.000533
7/1/04,Consumer Price Index,Implants,1.048775,1.59374E+11,0.004608
7/1/04,Consumer Price Index,Skills,0.975257,1.94473E+11,-0.002852
7/1/04,Consumer Price Index,Starbase structures,0.927927,18259316101,-0.00078
7/1/04,Consumer Price Index,Tech I modules,0.966256,1.29317E+11,-0.002587
7/1/04,Consumer Price Index,Tech I ships,1.053013,9.83528E+11,0.030911
7/1/04,Consumer Price Index,Tech II modules,1.179654,1.09425E+11,0.011654
7/1/04,Consumer Price Index,Tech II ships,1.116307,34996212645,0.002413
7/1/04,Mineral Price Index,High-End Minerals,1.037884,4.19075E+11,0.024661
7/1/04,Mineral Price Index,Low-End Minerals,1.080096,2.24697E+11,0.027956
7/1/04,Primary Producer Price Index,Commodity,1.053438,1532883989,0.002233
7/1/04,Primary Producer Price Index,Ore,1.101368,32029079269,0.088511
7/1/04,Primary Producer Price Index,Planetary Processed Materials,0.980692,1097736012,-0.000577
7/1/04,Primary Producer Price Index,Planetary Refined Commodities,0.95055,1061053601,-0.00143
7/1/04,Primary Producer Price Index,Planetary Specialized Commodities,1.029539,960644281.4,0.000773
7/1/04,Secondary Producer Price Index,Blueprints,0.978671,1.2363E+11,-0.00964
7/1/04,Secondary Producer Price Index,Commodity,0.982487,1.23853E+11,-0.007929
7/1/04,Secondary Producer Price Index,Planetary Commodities,0.948602,577840462.5,-0.000108
7/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.677634,3668559119,-0.004323
7/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.921392,1424677196,-0.000409
7/1/04,Secondary Producer Price Index,Tech II construction components,1.222594,20370795949,0.016577
8/1/04,Consumer Price Index,Ammo,1.018053,59576362763,0.000533
8/1/04,Consumer Price Index,Commodity,0.919718,5574925093,-0.000221
8/1/04,Consumer Price Index,Drones,1.013512,15542703273,0.000104
8/1/04,Consumer Price Index,Faction Ships,1.314417,857000000,0.000133
8/1/04,Consumer Price Index,Implants,0.999371,1.90012E+11,-5.90E-05
8/1/04,Consumer Price Index,Skills,1.01742,2.10171E+11,0.001815
8/1/04,Consumer Price Index,Starbase structures,0.956032,23534770845,-0.000513
8/1/04,Consumer Price Index,Tech I modules,0.975312,1.52776E+11,-0.001869
8/1/04,Consumer Price Index,Tech I ships,1.029614,1.15607E+12,0.016973
8/1/04,Consumer Price Index,Tech II modules,0.987374,1.38659E+11,-0.000867
8/1/04,Consumer Price Index,Tech II ships,1.190802,64251576620,0.006077
8/1/04,Mineral Price Index,High-End Minerals,1.021113,4.55658E+11,0.013419
8/1/04,Mineral Price Index,Low-End Minerals,1.051678,2.61225E+11,0.01883
8/1/04,Primary Producer Price Index,Commodity,1.043936,1669088403,0.001585
8/1/04,Primary Producer Price Index,Ore,1.063747,40833759614,0.056262
8/1/04,Primary Producer Price Index,Planetary Processed Materials,0.998941,1227143793,-2.80E-05
8/1/04,Primary Producer Price Index,Planetary Refined Commodities,1.017505,1540957937,0.000583
8/1/04,Primary Producer Price Index,Planetary Specialized Commodities,0.909959,994685180.7,-0.001935
8/1/04,Secondary Producer Price Index,Blueprints,1.001042,1.46476E+11,0.000416
8/1/04,Secondary Producer Price Index,Commodity,1.00204,1.80204E+11,0.001003
8/1/04,Secondary Producer Price Index,Planetary Commodities,1.00527,702250977.5,1.00E-05
8/1/04,Secondary Producer Price Index,Planetary Refined Commodities,0.750805,4834206091,-0.003287
8/1/04,Secondary Producer Price Index,Planetary Specialized Commodities,0.988517,765692052.9,-2.30E-05
8/1/04,Secondary Producer Price Index,Tech II construction components,1.459121,33469311500,0.041933
9/1/04,Consumer Price Index,Ammo,1.000989,62712615749,2.80E-05
9/1/04,Consumer Price Index,Boosters,0.990274,3168877.186,0
9/1/04,Consumer Price Index,Commodity,0.998744,5423588096,-3.00E-06
9/1/04,Consumer Price Index,Drones,1.069659,17363983927,0.000547
9/1/04,Consumer Price Index,Faction Ships,1.575262,675000000,0.000175
9/1/04,Consumer Price Index,Implants,0.969002,1.99978E+11,-0.002808
9/1/04,Consumer Price Index,Skills,1.001884,2.63304E+11,0.000224
9/1/04,Consumer Price Index,Starbase structures,1.035408,23012826640,0.000369
9/1/04,Consumer Price Index,Tech I modules,0.933449,1.69902E+11,-0.005122
9/1/04,Consumer Price Index,Tech I ships,0.988565,1.20891E+12,-0.006263
